id,distance.moved,bw.object.side.visits,bw.object.side.time,colour.object.side.visits,colour.object.side.time,bw.object.close.visits,bw.object.close.time,colour.object.close.visits,colour.object.close.time,middle.zone.visits,middle.zone.time,sex,orientation
1,1320.12,14,91.4896,18,90.889,12,25.6251,15,27.8272,20,110.308,M,N
2,662.746,9,64.6633,6,36.4357,5,11.6114,3,7.60745,17,204.4,F,N
3,602.357,5,78.4768,4,77.8762,4,39.839,8,28.0274,11,146.543,F,R
4,833.866,8,85.4837,8,60.0588,8,46.4455,10,40.6398,17,159.156,M,R
5,702.362,6,33.0323,4,32.0314,5,13.4131,4,10.6104,11,234.63,F,R
6,1266.24,9,246.441,0,0,44,98.2962,0,0,7,53.4523,M,R
7,824.948,10,125.323,6,32.2316,20,70.469,6,15.4151,17,162.159,M,N
8,235.25,0,0,6,172.369,0,0,5,53.6525,5,126.123,F,N
9,167.258,1,17.0167,5,158.755,1,6.40627,4,26.6261,4,128.526,M,N
10,178.694,1,13.8135,1,16.8165,0,0,0,0,3,268.263,M,N
11,378.535,4,67.8664,1,13.4131,9,30.4298,1,3.40333,6,221.016,M,N
12,1303.25,13,138.135,9,82.2806,19,45.0441,9,18.8184,20,81.4798,F,N
13,597.158,3,47.0461,6,120.918,2,9.00882,8,26.4259,8,129.327,F,N
14,665.063,5,107.906,5,67.6662,7,67.8664,8,33.6329,11,131.729,M,R
15,1392.35,10,112.911,9,90.4886,13,31.8312,10,24.0235,19,95.4935,F,R
16,1007.62,10,103.301,8,53.4523,16,56.0549,9,34.8341,19,149.747,F,R
17,939.356,8,120.118,4,94.8929,7,25.4249,9,37.837,13,83.8821,F,R
18,1271.99,9,63.0617,11,102.901,9,17.6172,16,42.8419,20,184.381,M,R
19,307.195,3,82.8811,2,130.528,5,49.6486,3,76.6751,5,88.6868,M,R
20,325.403,1,11.4112,3,174.371,1,2.00196,7,54.6535,3,112.911,F,N