novel.side,sex,id,trial.type,distance.moved,time.with.right.object.close,time.with.left.object.close,time.on.left.side,time.on.right.side,object.type
LEFT,f,1,familiar,635.587,14.7207,13.8135,31.0304,41.547,purple
LEFT,f,1,novel,170.362,0,5.60549,11.8116,18.418,purple
RIGHT,f,2,familiar,637.274,25.8253,23.2227,51.2502,71.176,purple
RIGHT,f,2,novel,878.509,30.63,26.0255,75.4739,108.706,purple
LEFT,m,3,familiar,1797.15,34.0333,38.2374,115.619,83.0813,purple
LEFT,m,3,novel,1149.88,7.60745,38.0372,103.408,43.4425,purple
RIGHT,f,4,familiar,973.797,34.8341,15.4151,41.841,86.3909,purple
RIGHT,f,4,novel,925.169,26.0255,27.2267,71.6702,147.144,purple
LEFT,f,5,familiar,1021.83,39.0382,26.2257,55.8547,99.2034,purple
LEFT,f,5,novel,616.676,18.2178,24.0235,69.8684,44.1495,purple
RIGHT,f,6,familiar,812.41,14.2139,34.6339,126.724,46.0451,grey
RIGHT,f,6,novel,423.503,17.6172,20.8204,78.677,186.689,grey
RIGHT,f,7,familiar,1269.99,16.0157,18.2178,80.1848,106.504,grey
RIGHT,f,7,novel,533.003,14.4141,16.0157,49.6486,63.0617,grey
LEFT,m,8,familiar,829.86,22.2218,16.4161,66.3713,88.6868,grey
LEFT,m,8,novel,250.46,0.200196,14.4141,69.0676,2.80274,grey
LEFT,f,9,familiar,1584.59,38.4376,24.6241,81.8802,119.517,blue
LEFT,f,9,novel,792.936,20.8204,13.8135,43.0421,77.0755,blue
RIGHT,m,10,familiar,2227.02,29.2286,23.9297,100.605,109.507,blue
RIGHT,m,10,novel,1804.71,46.3517,15.0147,53.0519,173.877,blue
RIGHT,f,11,familiar,1399.02,55.4543,23.7295,75.3801,121.119,blue
RIGHT,f,11,novel,702.144,23.0225,22.8223,99.2034,79.8782,blue
LEFT,m,12,familiar,1627.06,30.9366,21.6212,82.0804,104.208,grey
LEFT,m,12,novel,1173.64,33.0323,9.40921,73.6721,137.134,grey
RIGHT,f,13,familiar,950.884,24.6241,38.0372,84.6829,88.4866,grey
RIGHT,f,13,novel,564.142,112.51,18.7246,31.337,161.358,grey
LEFT,f,14,familiar,1252.99,21.6212,26.4259,119.717,75.4739,grey
LEFT,f,14,novel,319.527,93.0911,26.6261,74.0725,141.539,grey
RIGHT,m,15,familiar,1531.93,14.4141,26.2257,125.723,79.1838,green
RIGHT,m,15,novel,1192.73,28.628,15.6153,100.899,135.639,green
LEFT,f,16,familiar,1815.64,27.8272,13.2129,46.1515,122.52,green
LEFT,f,16,novel,530.842,11.211,64.8635,118.516,47.0461,green
RIGHT,f,17,familiar,549.948,33.3389,24.2237,34.2335,75.3801,green
RIGHT,f,17,novel,460.187,81.4798,9.40921,13.0127,154.952,green
RIGHT,f,18,familiar,1347.57,26.2257,33.8331,126.123,62.5675,blue
RIGHT,f,18,novel,740.02,31.7374,5.0049,32.2316,108.212,blue
LEFT,f,19,familiar,1503.33,28.4278,33.2325,106.304,99.097,blue
LEFT,f,19,novel,473.662,9.60941,6.20608,55.6545,54.4533,blue
LEFT,m,20,familiar,1747.16,25.8253,23.9297,93.5979,110.708,green
LEFT,m,20,novel,1288.32,20.42,40.1456,120.825,87.2855,green
RIGHT,f,21,familiar,1507.03,32.4318,25.6251,101.806,112.911,green
RIGHT,f,21,novel,872.728,33.8331,13.4131,65.7707,111.509,green
LEFT,f,22,familiar,1005.47,20.6202,25.2247,70.469,61.4602,green
LEFT,f,22,novel,415.398,49.8488,29.0284,34.6339,53.6525,green